method,latin,common,location
eDNA,Obelia longissima,Hydroid,Coastal and offshore
eDNA,Oithona similis,Copepod,Coastal
eDNA,Ophelina acuminata,Polychaete worm,Offshore
eDNA,Ophiopholis aculeatus,Daisy Brittlestar,Coastal and offshore
eDNA,Pherusa affinis,Polychaete worm,Coastal
eDNA,Phyllodoce maculata,Polychaete worm,Offshore
eDNA,Pholoe assimilis,Polychaete worm,Offshore
eDNA,Pholoe minuta,Polychaete worm,Coastal and offshore
eDNA,Pleurobrachia pileus,Comb jelly,Coastal and offshore
eDNA,Polydora cornuta,Polychaete worm,Coastal
eDNA,Polydora onagawaensis,Shell boring polychaete worm (possibly invasive),Coastal
eDNA,Polygordius jouinae,Polychaete worm,Coastal and offshore
eDNA,Prionospio steenstrupi,Polychaete worm,Coastal and offshore
eDNA,Pseudocalanus minutus,Copepod,Offshore
eDNA,Pseudocalanus moultoni,Copepod,Offshore
eDNA,Pseudocalanus newmani,Copepod,Coastal and offshore
eDNA,Rathkea octopunctata,Hydrozoan jellyfish,Coastal
eDNA,Saccoglossus bromophenolosus,Hemichordate worm,Offshore
eDNA,Sarsia tubulosa,Hydrozoan jellyfish,Coastal
eDNA,Scoletoma fragilis,Polychaete worm,Offshore
eDNA,Strongylocentrotus droebachiensis,Green Sea Urchin,Offshore
eDNA,Strongylocentrotus pallidus,Pale Sea Urchin,Offshore
eDNA,Synchaeta triophthalma,Marine rotifer (possibly invasive),Coastal
eDNA,Temora longicornis,Copepod,Coastal
eDNA,Terschellingia longicaudata,Nematode worm (possibly invasive),Offshore
eDNA,Thalestris longimana,Copepod,Coastal
eDNA,Tiaropsis multicirrata,Hydrozoan jellyfish,Coastal
eDNA,Thysanoessa inermis,Krill,Offshore
eDNA,Tortanus discaudatus,Copepod,Coastal and offshore
eDNA,Trochochaeta multisetosa,Polychaete worm,Coastal and offshore
eDNA,Turbonilla powhatani,Pyramid snail,Coastal
eDNA,Turtonia minuta,Marine snail,Coastal
Acoustic,Hippoglossus hippoglossus,Atlantic halibut,Acoustic
Acoustic,Salmo salar,Atlantic Salmon,Acoustic
Acoustic,Acipenser oxyrinchus oxyrinchus,Atlantic Sturgeon,Acoustic
Acoustic,Prionace glauca,Blue Shark,Acoustic
Acoustic,Thunnus thynnus,Bluefin Tuna,Acoustic
Acoustic,Halichoerus grypus,Grey Seal,Acoustic
Acoustic,Dermochelys coriacea,Leatherback Turtle,Acoustic
Acoustic,Carcharodon carcharias,White Shark,Acoustic
