"","animal_id","local_area","num_dets","first_det","last_det","mean_lat","mean_lon"
"91","V2LNSSA-11B-2019-05-09","Sheet Harbour estuary",32,2019-05-14 03:35:29,2019-05-15 18:36:08,44.8958021924533,-62.4850195539726
"92","V2LNSSA-11B-2019-05-09","Sheet Harbour passage",62,2019-05-12 07:00:05,2019-05-12 09:08:49,44.8665695404,-62.4962837203505
"93","V2LNSSA-11B-2019-05-09","West River upper",2,2019-05-09 09:36:00,2019-05-09 09:36:00,44.9585454198472,-62.6177866412211
"94","V2LNSSA-11C-2019-05-09","Sheet Harbour",3030,2019-05-10 02:12:10,2019-05-21 23:04:14,44.9202516530958,-62.5386218284875
"95","V2LNSSA-11C-2019-05-09","Sheet Harbour estuary",5182,2019-05-12 13:40:26,2019-06-15 20:21:42,44.8958021924533,-62.4850195539726
"96","V2LNSSA-11C-2019-05-09","Sheet Harbour passage",133,2019-05-09 22:08:38,2019-06-17 14:21:34,44.8665695404,-62.4962837203505
"97","V2LNSSA-11C-2019-05-09","West River upper",2,2019-05-09 09:36:00,2019-05-09 09:36:00,44.9585454198472,-62.6177866412211
"98","V2LNSSA-11D-2019-05-09","Sheet Harbour",1873,2019-05-12 01:14:21,2019-05-27 20:05:45,44.9202516530958,-62.5386218284875
"99","V2LNSSA-11D-2019-05-09","Sheet Harbour estuary",1933,2019-05-25 02:20:55,2019-06-07 04:29:38,44.8958021924533,-62.4850195539726
"100","V2LNSSA-11D-2019-05-09","Sheet Harbour passage",52,2019-05-12 00:06:04,2019-06-08 13:04:03,44.8665695404,-62.4962837203505
"101","V2LNSSA-11D-2019-05-09","West River upper",2,2019-05-09 09:36:00,2019-05-09 09:36:00,44.9585454198472,-62.6177866412211
"102","V2LNSSA-12A-2019-05-09","Sheet Harbour",5211,2019-05-10 00:16:09,2019-06-10 03:42:05,44.9202516530958,-62.5386218284875
"103","V2LNSSA-12A-2019-05-09","Sheet Harbour estuary",2154,2019-05-14 01:38:31,2019-06-13 23:14:01,44.8958021924533,-62.4850195539726
"104","V2LNSSA-12A-2019-05-09","Sheet Harbour passage",52,2019-05-09 19:44:05,2019-06-15 23:54:47,44.8665695404,-62.4962837203505
"105","V2LNSSA-12A-2019-05-09","West River upper",2,2019-05-09 09:36:00,2019-05-09 09:36:00,44.9585454198472,-62.6177866412211
