index,family,genus,scientific_name,common_name,type,count,coast
eDNA_taxon01,Hemitripteridae,Hemitripterus,Hemitripterus americanus,sea raven,12s,3292,east
eDNA_taxon02,Anguillidae,Anguilla,Anguilla rostrata,American eel,12s,73932,east
eDNA_taxon03,Atherinopsidae,Menidia,Menidia menidia,Atlantic silverside,12s,93690,east
eDNA_taxon04,Chaetodontidae,Chaetodon,Chaetodon ocellatus,spotfin butterflyfish,12s,419,east
eDNA_taxon05,Clupeidae,Alosa,Alosa aestivalis,blueback shad,12s,419,east
eDNA_taxon06,Clupeidae,Alosa,Alosa pseudoharengus,alewife,12s,22201,east
eDNA_taxon07,Clupeidae,Clupea,Clupea harengus,Atlantic herring,12s,96248,east
eDNA_taxon08,Cottidae,Gymnocanthus,Gymnocanthus tricuspis,arctic staghorn sculpin,12s,329,east
eDNA_taxon09,Cottidae,Myoxocephalus,Myoxocephalus octodecemspinosus,longhorn sculpin,12s,880,east
eDNA_taxon10,Cryptacanthodidae,Cryptacanthodes,Cryptacanthodes giganteus,Giant wrymouth,12s,8210,east
eDNA_taxon11,Fundulidae,Fundulus,Fundulus heteroclitus,mummichog,12s,72624,east
eDNA_taxon12,Gadidae,Microgadus,Microgadus tomcod,Atlantic tomcod,12s,145460,east
eDNA_taxon13,Gadidae,Pollachius,Pollachius virens,saithe,12s,10288,east
eDNA_taxon14,Gasterosteidae,Apeltes,Apeltes quadracus,fourspine stickleback,12s,27040,east
eDNA_taxon15,Gasterosteidae,Gasterosteus,Gasterosteus aculeatus,three-spined stickleback,12s,152405,east
eDNA_taxon16,Gasterosteidae,Gasterosteus,Gasterosteus wheatlandi,blackspotted stickleback,12s,2273,east
eDNA_taxon17,Labridae,Tautogolabrus,Tautogolabrus adspersus,cunner,12s,197789,east
eDNA_taxon18,Merlucciidae,Merluccius,Merluccius bilinearis,silver hake,12s,1214,east
eDNA_taxon19,Moronidae,Morone,Morone saxatilis,striped bass,12s,456,east
eDNA_taxon20,Pholidae,Pholis,Pholis gunnellus,rock gunnel,12s,670,east
eDNA_taxon21,Phycidae,Urophycis,Urophycis chuss,red hake,12s,2848,east
eDNA_taxon22,Phycidae,Urophycis,Urophycis tenuis,white hake,12s,27029,east
eDNA_taxon23,Scombridae,Scomber,Scomber scombrus,Atlantic mackerel,12s,73664,east
eDNA_taxon24,Scophthalmidae,Scophthalmus,Scophthalmus aquosus,Windowpane flounder ,12s,2403,east
eDNA_taxon25,Stichaeidae,Lumpenus,Lumpenus lampretaeformis,snakeblenny,12s,1073,east
eDNA_taxon26,Syngnathidae,Syngnathus,Syngnathus fuscus,northern pipefish,12s,10109,east
eDNA_taxon27,Ammodytidae,Ammodytes,Ammodytes americanus,American sand lance,12s,375,east
eDNA_taxon28,Ammodytidae,Ammodytes,Ammodytes dubius,northern sand lance,12s,190,east
eDNA_taxon29,Ammodytidae,Ammodytes,Ammodytes tobianus,small sandeel,12s,86764,east
eDNA_taxon30,Clupeidae,CL1_Alosa_12S,Alosa sapidissima_Alosa fallax,American shad_twaite shad,12s,487,east
eDNA_taxon31,Cottidae,Myoxocephalus,Myoxocephalus aenaeus,grubby,12s,29830,east
eDNA_taxon32,Cottidae,CO3_Myoxocephalus_12S,Myoxocephalus quadricornis_Myoxocephalus scorpius,fourhorn sculpin_shorthorn sculpin,12s,49229,east
eDNA_taxon33,Cyclopteridae,Cyclopterus,Cyclopterus lumpus,lumpfish,12s,324,east
eDNA_taxon34,Cyclopteridae,CY2_Liparis_12S,Liparis inquilinus_Liparis fabricii,Inquiline snailfish_gelatinous seasnail,12s,483,east
eDNA_taxon35,Fundulidae,Fundulus,Fundulus diaphanus,banded killifish,12s,517,east
eDNA_taxon36,Gadidae,GA1_Gadus_12S,Gadus macrocephalus_Gadus morhua_Gadus chalcogrammus,Pacific cod |Atlantic cod |Alaska pollock,12s,1141,east
eDNA_taxon37,Gadidae,GA3_2genera_12S,Melanogrammus aeglefinus_Merlangius merlangus,haddock_whiting,12s,215,east
eDNA_taxon38,Pholidae,Pholis,Pholis clemensi,Longfin gunnel,12s,1563,east
eDNA_taxon39,Pleuronectidae,PL3_Hippoglossus_12S,Hippoglossus hippoglossus_Hippoglossus stenolepis,Atlantic halibut_Pacific halibut,12s,210,east
eDNA_taxon40,Pleuronectidae,Pseudopleuronectes,Pseudopleuronectes americanus,winter flounder,12s,1231,east
eDNA_taxon41,Sphyraenidae,Sphyraena,Sphyraena borealis,northern sennet,12s,712,east
eDNA_taxon42,Stichaeidae,ST1_2genera_12S,Ulvaria subbifurcata_Eumesogrammus praecisus,radiated shanny_fourline snakeblenny,12s,4866,east
eDNA_taxon43,Ammodytidae,AM2_Ammodytes_16S,Ammodytes hexapterus_Ammodytes personatus,Pacific sand lance_Pacific sandlance,12s,0,east
eDNA_taxon44,Ammodytidae,AM3_Ammodytes_16S,Ammodytes hexapterus_Ammodytes personatus,Pacific sand lance_Pacific sandlance,12s,0,east
eDNA_taxon45,Balistidae,Balistes,Balistes vetula,queen triggerfish,12s,0,east
eDNA_taxon46,Belonidae,Scomberesox,Scomberesox saurus,Atlantic saury,12s,0,east
eDNA_taxon47,Carangidae,Caranx,Caranx crysos,blue runner,12s,0,east
eDNA_taxon48,Carangidae,Caranx,Caranx hippos,crevalle jack,12s,0,east
eDNA_taxon49,Congridae,Conger,Conger oceanicus,American conger,12s,0,east
eDNA_taxon50,Cottidae,Myoxocephalus,Myoxocephalus quadricornis,fourhorn sculpin,12s,0,east
eDNA_taxon51,Cottidae,Myoxocephalus,Myoxocephalus scorpius,shorthorn sculpin,12s,0,east
eDNA_taxon52,Gasterosteidae,Pungitius,Pungitius pungitius,ninespine stickleback,12s,0,east
eDNA_taxon53,Osmeridae,Osmerus,Osmerus mordax,rainbow smelt ,12s,0,east
eDNA_taxon54,Pleuronectidae,Hippoglossus,Hippoglossus hippoglossus,Atlantic halibut,12s,0,east
eDNA_taxon55,Pleuronectidae,PL5_4genera_16S,Platichthys flesus_Platichthys stellatus_Pseudopleuronectes americanus_Parophrys vetulus_Lepidopsetta polyxystra_Lepidopsetta bilineata,European flounder_starry flounder_winter flounder_English sole_northern rock sole_rock sole,12s,0,east
eDNA_taxon56,Zoarcidae,Zoarces,Zoarces americanus,ocean pout,12s,0,east
eDNA_taxon01,Hemitripteridae,Hemitripterus,Hemitripterus americanus,sea raven,16s,14488,east
eDNA_taxon02,Anguillidae,Anguilla,Anguilla rostrata,American eel,16s,577,east
eDNA_taxon03,Atherinopsidae,Menidia,Menidia menidia,Atlantic silverside,16s,238879,east
eDNA_taxon04,Chaetodontidae,Chaetodon,Chaetodon ocellatus,spotfin butterflyfish,16s,2013,east
eDNA_taxon05,Clupeidae,Alosa,Alosa aestivalis,blueback shad,16s,768,east
eDNA_taxon06,Clupeidae,Alosa,Alosa pseudoharengus,alewife,16s,255,east
eDNA_taxon07,Clupeidae,Clupea,Clupea harengus,Atlantic herring,16s,11006,east
eDNA_taxon08,Cottidae,Gymnocanthus,Gymnocanthus tricuspis,arctic staghorn sculpin,16s,3698,east
eDNA_taxon09,Cottidae,Myoxocephalus,Myoxocephalus octodecemspinosus,longhorn sculpin,16s,2066,east
eDNA_taxon10,Cryptacanthodidae,Cryptacanthodes,Cryptacanthodes giganteus,Giant wrymouth,16s,35907,east
eDNA_taxon11,Fundulidae,Fundulus,Fundulus heteroclitus,mummichog,16s,142745,east
eDNA_taxon12,Gadidae,Microgadus,Microgadus tomcod,Atlantic tomcod,16s,205057,east
eDNA_taxon13,Gadidae,Pollachius,Pollachius virens,saithe,16s,25367,east
eDNA_taxon14,Gasterosteidae,Apeltes,Apeltes quadracus,fourspine stickleback,16s,86423,east
eDNA_taxon15,Gasterosteidae,Gasterosteus,Gasterosteus aculeatus,three-spined stickleback,16s,396424,east
eDNA_taxon16,Gasterosteidae,Gasterosteus,Gasterosteus wheatlandi,blackspotted stickleback,16s,2567,east
eDNA_taxon17,Labridae,Tautogolabrus,Tautogolabrus adspersus,cunner,16s,619917,east
eDNA_taxon18,Merlucciidae,Merluccius,Merluccius bilinearis,silver hake,16s,334,east
eDNA_taxon19,Moronidae,Morone,Morone saxatilis,striped bass,16s,1071,east
eDNA_taxon20,Pholidae,Pholis,Pholis gunnellus,rock gunnel,16s,855145,east
eDNA_taxon21,Phycidae,Urophycis,Urophycis chuss,red hake,16s,3684,east
eDNA_taxon22,Phycidae,Urophycis,Urophycis tenuis,white hake,16s,46623,east
eDNA_taxon23,Scombridae,Scomber,Scomber scombrus,Atlantic mackerel,16s,228075,east
eDNA_taxon24,Scophthalmidae,Scophthalmus,Scophthalmus aquosus,Windowpane flounder ,16s,2486,east
eDNA_taxon25,Stichaeidae,Lumpenus,Lumpenus lampretaeformis,snakeblenny,16s,5087,east
eDNA_taxon26,Syngnathidae,Syngnathus,Syngnathus fuscus,northern pipefish,16s,22896,east
eDNA_taxon27,Ammodytidae,Ammodytes,Ammodytes americanus,American sand lance,16s,0,east
eDNA_taxon28,Ammodytidae,Ammodytes,Ammodytes dubius,northern sand lance,16s,0,east
eDNA_taxon29,Ammodytidae,Ammodytes,Ammodytes tobianus,small sandeel,16s,0,east
eDNA_taxon30,Clupeidae,CL1_Alosa_12S,Alosa sapidissima_Alosa fallax,American shad_twaite shad,16s,0,east
eDNA_taxon31,Cottidae,Myoxocephalus,Myoxocephalus aenaeus,grubby,16s,0,east
eDNA_taxon32,Cottidae,CO3_Myoxocephalus_12S,Myoxocephalus quadricornis_Myoxocephalus scorpius,fourhorn sculpin_shorthorn sculpin,16s,0,east
eDNA_taxon33,Cyclopteridae,Cyclopterus,Cyclopterus lumpus,lumpfish,16s,0,east
eDNA_taxon34,Cyclopteridae,CY2_Liparis_12S,Liparis inquilinus_Liparis fabricii,Inquiline snailfish_gelatinous seasnail,16s,0,east
