index,family,genus,scientific_name,common_name,type,count,coast
eDNA_taxon91,Anarhichadidae,Anarrhichthys,Anarrhichthys ocellatus,wolf eel,16s,0,west
eDNA_taxon92,Bythitidae,Brosmophycis,Brosmophycis marginata,Red brotula,16s,0,west
eDNA_taxon30,Clupeidae,CL1_Alosa_12S,Alosa sapidissima_Alosa fallax,American shad_twaite shad,16s,0,west
eDNA_taxon93,Cottidae,Artedius,Artedius lateralis,smoothhead sculpin,16s,0,west
eDNA_taxon94,Cottidae,Ascelichthys,Ascelichthys rhodorus,rosylip sculpin,16s,0,west
eDNA_taxon95,Cottidae,Clinocottus,Clinocottus acuticeps,sharpnose sculpin,16s,0,west
eDNA_taxon96,Cottidae,CO4_Oligocottus_12S,Oligocottus maculosus_Oligocottus snyderi,tidepool sculpin_fluffy sculpin,16s,0,west
eDNA_taxon97,Cottidae,Synchirus,Synchirus gilli,Manacled sculpin,16s,0,west
eDNA_taxon98,Engraulidae,Engraulis,Engraulis mordax,California anchovy,16s,0,west
eDNA_taxon36,Gadidae,GA1_Gadus_12S,Gadus macrocephalus_Gadus morhua_Gadus chalcogrammus,Pacific cod_Atlantic cod_Alaska pollock,16s,0,west
eDNA_taxon99,Gobiidae,Clevelandia,Clevelandia ios,arrow goby,16s,0,west
eDNA_taxon100,Hexagrammidae,HE1_Hexagrammos_12S,Hexagrammos lagocephalus_Hexagrammos octagrammus_Hexagrammos stelleri,rock greenling_masked greenling_whitespotted greenling,16s,0,west
eDNA_taxon101,Liparidae,Polypera,Polypera greeni,Lobefin snailfish,16s,0,west
eDNA_taxon102,Pleuronectidae,PL6_2genera_12S,Platichthys stellatus_Myzopsetta ferruginea_Platichthys flesus,starry flounder_yellowtail flounder_European flounder,16s,0,west
eDNA_taxon103,Pleuronectidae,PL4_2genera_12S,Psettichthys melanostictus_Isopsetta isolepis,Pacific sand sole_butter sole,16s,0,west
eDNA_taxon104,Sebastes,SE1_Sebastes_12S,14 Sebastes sp,,16s,0,west
eDNA_taxon105,Sebastes,SE2_Sebastes_12S,Sebastes caurinus_Sebastes maliger,copper rockfish_quillback rockfish,16s,0,west
eDNA_taxon106,Sebastes,SE3_Sebastes_12S,Sebastes crameri_Sebastes variabilis,darkblotched rockfish_light dusky rockfish,16s,0,west
eDNA_taxon107,Sebastidae,Sebastes,Sebastes auriculatus,brown rockfish,16s,0,west
eDNA_taxon108,Stichaeidae,ST4_Anoplarchus_12S,Anoplarchus purpurescens_Anoplarchus insignis,high cockscomb_slender cockscomb,16s,0,west
eDNA_taxon109,Stichaeidae,ST5_Chirolophis_12S,Chirolophis nugator_Chirolophis decoratus,mosshead warbonnet_decorated warbonnet,16s,0,west
eDNA_taxon110,Stichaeidae,Lumpenus,Lumpenus fabricii,Slender eelblenny,16s,0,west
eDNA_taxon111,Stichaeidae,ST3_Xiphister_12S,Xiphister atropurpureus_Xiphister mucosus,black prickleback_rock prickleback,16s,0,west
eDNA_taxon112,Agonidae,Blepsias,Blepsias cirrhosus,silverspotted sculpin,16s,1526,west
eDNA_taxon43,Ammodytidae,AM2_Ammodytes_16S,Ammodytes hexapterus_Ammodytes personatus,Pacific sand lance_Pacific sandlance,16s,7055,west
eDNA_taxon113,Batrachoididae,Porichthys,Porichthys notatus,plainfin midshipman,16s,48899,west
eDNA_taxon114,Gadidae,GA2_Gadus_16S,Gadus morhua_Gadus ogac |Gadus macrocephalus,Atlantic cod_Greenland cod_Pacific cod,16s,1746,west
eDNA_taxon115,Gobiesocidae,Gobiesox,Gobiesox maeandricus,northern clingfish,16s,1247,west
eDNA_taxon116,Gobiidae,Rhinogobiops,Rhinogobiops nicholsii,blackeye goby,16s,5545,west
eDNA_taxon117,Hexagrammidae,Hexagrammos,Hexagrammos stelleri,whitespotted greenling,16s,37436,west
eDNA_taxon118,Liparidae,Liparis,Liparis dennyi,marbled snailfish,16s,185,west
eDNA_taxon119,Liparidae,Liparis,Liparis florae,tidepool Snailfish,16s,11617,west
eDNA_taxon120,Pholidae,Apodichthys,Apodichthys fucorum,rockweed gunnel,16s,684,west
eDNA_taxon55,Pleuronectidae,PL5_4genera_16S,Platichthys flesus_Platichthys stellatus_Pseudopleuronectes americanus_Parophrys vetulus_Lepidopsetta polyxystra_Lepidopsetta bilineata,European flounder_starry flounder_winter flounder_English sole_northern rock sole_rock sole,16s,40868,west
eDNA_taxon121,Pleuronectidae,PL6_2genera_16S,Psettichthys melanostictus_Parophrys vetulus,Pacific sand sole |English sole,16s,39903,west
eDNA_taxon122,Salmonidae,Oncorhynchus,Oncorhynchus nerka,sockeye salmon,16s,567,west
eDNA_taxon123,Salmonidae,Salmo,Salmo salar,Atlantic salmon,16s,188,west
eDNA_taxon124,Sebastidae,SE2_Sebastes_16S,Sebastes aleutianus_Sebastes borealis_Sebastes diploproa_Sebastes proriger,rougheye rockfish_shortraker rockfish_splitnose rockfish_redstripe rockfish,16s,279,west
eDNA_taxon125,Sebastidae,SE3_Sebastes_16S,Sebastes auriculatus_Sebastes caurinus_Sebastes maliger,brown rockfish_copper rockfish_quillback rockfish,16s,1834,west
eDNA_taxon126,Sebastidae,SE5_Sebastes_16S,Sebastes ciliates_Sebastes crameri_Sebastes polyspinis_Sebastes reedi_Sebastes variabilis,dusky rockfish_darkblotched rockfish_northern rockfish_yellowmouth rockfish_light dusky rockfish,16s,2704,west
eDNA_taxon127,Sebastidae,SE8_Sebastes_16S,Sebastes flavidus_Sebastes melanops,yellow tail rockfish_black rockfish,16s,4298,west
eDNA_taxon128,Stichaeidae,Anoplarchus,Anoplarchus insignis,slender cockscomb,16s,33332,west
eDNA_taxon129,Stichaeidae,Xiphister,Xiphister atropurpureus,black prickleback,16s,5971,west
